体系,部門,部署,url
主任研究員研究室等,主任研究員研究室等,古崎物性理論研究室,https://www.riken.jp/research/labs/chief/condens_matter_theor/index.html
主任研究員研究室等,主任研究員研究室等,侯有機金属化学研究室,https://www.riken.jp/research/labs/chief/organometal_chem/index.html
主任研究員研究室等,主任研究員研究室等,三好予測科学研究室,https://www.riken.jp/research/labs/chief/predict_sci/index.html
主任研究員研究室等,主任研究員研究室等,Yoo生理遺伝学研究室,https://www.riken.jp/research/labs/chief/physiol_gen/index.html
主任研究員研究室等,主任研究員研究室等,柚木計算物性物理研究室,https://www.riken.jp/research/labs/chief/computat_condens_matter_phys/index.html
主任研究員研究室等,主任研究員研究室等,渡邉分子生理学研究室,https://www.riken.jp/research/labs/chief/mol_physiol/index.html
主任研究員研究室等,主任研究員研究室等,肝がん予防研究ユニット,https://www.riken.jp/research/labs/chief/liver_cancer_prev/index.html
理研白眉研究チーム,理研白眉研究チーム,榎戸極限自然現象理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/e_extr_nat_phenom/index.html
理研白眉研究チーム,理研白眉研究チーム,川上浮揚電子量子情報理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/k_floatelectron_based_qtm_inf/index.html
理研白眉研究チーム,理研白眉研究チーム,川口生体非平衡物理学理研白眉研究チーム,https://www.riken.jp
理研白眉研究チーム,理研白眉研究チーム,新宅マイクロ流体工学理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/s_microfluid/index.html
理研白眉研究チーム,理研白眉研究チーム,武石多感覚統合神経回路理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/t_neurcrt_multisens/index.html
理研白眉研究チーム,理研白眉研究チーム,玉置認知睡眠学理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/t_cogn_somno/index.html
理研白眉研究チーム,理研白眉研究チーム,萩原生体模倣システム理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/h_hum_biomimetic/index.html
理研白眉研究チーム,理研白眉研究チーム,濱崎非平衡量子統計力学理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/h_nonequil_qtm_stat_mech/index.html
理研白眉研究チーム,理研白眉研究チーム,Parrishゲノム免疫生物学理研白眉研究チーム,https://www.riken.jp/research/labs/hakubi/p_genom_immunobiol/index.html
革新知能統合研究センター,革新知能統合研究センター,汎用基盤技術研究グループ,https://www.riken.jp
革新知能統合研究センター,革新知能統合研究センター,不完全情報学習チーム,https://www.riken.jp/research/labs/aip/generic_tech/imperfect_inf_learn/index.html
革新知能統合研究センター,革新知能統合研究センター,構造的学習チーム,https://www.riken.jp/research/labs/aip/generic_tech/struct_learn/index.html
革新知能統合研究センター,革新知能統合研究センター,テンソル学習チーム,https://www.riken.jp/research/labs/aip/generic_tech/tensor_learn/index.html
革新知能統合研究センター,革新知能統合研究センター,関数解析的学習ユニット,https://www.riken.jp/research/labs/aip/generic_tech/funct_anl_learn/index.html
革新知能統合研究センター,革新知能統合研究センター,高次元統計モデリングチーム,https://www.riken.jp/research/labs/aip/generic_tech/highdim_stat_model/index.html
革新知能統合研究センター,革新知能統合研究センター,圧縮情報処理ユニット,https://www.riken.jp/research/labs/aip/generic_tech/succinct_inf_process/index.html
革新知能統合研究センター,革新知能統合研究センター,深層学習理論チーム,https://www.riken.jp/research/labs/aip/generic_tech/deep_learn_theory/index.html
革新知能統合研究センター,革新知能統合研究センター,計算論的学習理論チーム,https://www.riken.jp/research/labs/aip/generic_tech/comput_learn_theory/index.html
革新知能統合研究センター,革新知能統合研究センター,非凸学習理論チーム,https://www.riken.jp/research/labs/aip/generic_tech/nonconvex_learn_theory/index.html
革新知能統合研究センター,革新知能統合研究センター,因果推論チーム,https://www.riken.jp/research/labs/aip/generic_tech/cause_infer/index.html
革新知能統合研究センター,革新知能統合研究センター,近似ベイズ推論チーム,https://www.riken.jp/research/labs/aip/generic_tech/approx_bayes_infer/index.html
革新知能統合研究センター,革新知能統合研究センター,連続最適化チーム,https://www.riken.jp/research/labs/aip/generic_tech/continuous_optimize/index.html
革新知能統合研究センター,革新知能統合研究センター,数理科学チーム,https://www.riken.jp/research/labs/aip/generic_tech/math_sci/index.html
革新知能統合研究センター,革新知能統合研究センター,数理統計学チーム,https://www.riken.jp/research/labs/aip/generic_tech/math_stat/index.html
革新知能統合研究センター,革新知能統合研究センター,数理解析チーム,https://www.riken.jp/research/labs/aip/generic_tech/math_anl/index.html
革新知能統合研究センター,革新知能統合研究センター,トポロジカルデータ解析チーム,https://www.riken.jp/research/labs/aip/generic_tech/topology_data_anl/index.html
革新知能統合研究センター,革新知能統合研究センター,目的指向基盤技術研究グループ,https://www.riken.jp
革新知能統合研究センター,革新知能統合研究センター,がん探索医療研究チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/cancer_transl/index.html
革新知能統合研究センター,革新知能統合研究センター,iPS細胞連携医学的リスク回避チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/med_risk_avoid_base_ips/index.html
革新知能統合研究センター,革新知能統合研究センター,分子情報科学チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/mol_inf/index.html
革新知能統合研究センター,革新知能統合研究センター,認知行動支援技術チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/cogn_behav_assist_tech/index.html
革新知能統合研究センター,革新知能統合研究センター,防災科学チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/disaster_resilience/index.html
革新知能統合研究センター,革新知能統合研究センター,インフラ管理ロボット技術チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/robo_infrastruct_mange/index.html
革新知能統合研究センター,革新知能統合研究センター,観光情報解析チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/tourism_inf_anl/index.html
革新知能統合研究センター,革新知能統合研究センター,医用機械知能チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/machine_intell_med_eng/index.html
革新知能統合研究センター,革新知能統合研究センター,データ駆動型生物医科学チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/datadrive_biomed/index.html
革新知能統合研究センター,革新知能統合研究センター,計算脳ダイナミクスチーム,https://www.riken.jp/research/labs/aip/goalorient_tech/comput_brain_dyn/index.html
革新知能統合研究センター,革新知能統合研究センター,脳情報統合解析チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/inf_integr_neurosci/index.html
革新知能統合研究センター,革新知能統合研究センター,遺伝統計学チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/stat_genet/index.html
革新知能統合研究センター,革新知能統合研究センター,病理情報学チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/pathol_inf/index.html
革新知能統合研究センター,革新知能統合研究センター,自然言語理解チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/nat_lang_understand/index.html
革新知能統合研究センター,革新知能統合研究センター,知識獲得チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/knowl_acqui/index.html
革新知能統合研究センター,革新知能統合研究センター,言語情報アクセス技術チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/lang_inf_access_tech/index.html
革新知能統合研究センター,革新知能統合研究センター,空間情報学ユニット,https://www.riken.jp/research/labs/aip/goalorient_tech/geoinf/index.html
革新知能統合研究センター,革新知能統合研究センター,音楽情報知能チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/music_inf_intell/index.html
革新知能統合研究センター,革新知能統合研究センター,音響情景理解チーム,https://www.riken.jp/research/labs/aip/goalorient_tech/sound_scene_understand/index.html
革新知能統合研究センター,革新知能統合研究センター,社会における人工知能研究グループ,https://www.riken.jp
革新知能統合研究センター,革新知能統合研究センター,人工知能倫理・社会チーム,https://www.riken.jp/research/labs/aip/ai_soc/ai_ethical_legal_soc_issues/index.html
革新知能統合研究センター,革新知能統合研究センター,社会におけるAI利活用と法制度チーム,https://www.riken.jp/research/labs/aip/ai_soc/ai_utilize_legal_sys/index.html
革新知能統合研究センター,革新知能統合研究センター,科学技術と社会チーム,https://www.riken.jp/research/labs/aip/ai_soc/sci_tech_soc/index.html
革新知能統合研究センター,革新知能統合研究センター,分散型ビッグデータチーム,https://www.riken.jp/research/labs/aip/ai_soc/decentralize_bigdata/index.html
革新知能統合研究センター,革新知能統合研究センター,経済経営情報融合分析チーム,https://www.riken.jp/research/labs/aip/ai_soc/bus_econ_inf_fusion_anl/index.html
革新知能統合研究センター,革新知能統合研究センター,人工知能セキュリティ・プライバシーチーム,https://www.riken.jp/research/labs/aip/ai_soc/ai_sec_privacy/index.html
革新知能統合研究センター,革新知能統合研究センター,人工知能安全性・信頼性ユニット,https://www.riken.jp/research/labs/aip/ai_soc/ai_saf_rely/index.html
革新知能統合研究センター,革新知能統合研究センター,計算支援運用ユニット,https://www.riken.jp/research/labs/aip/comput_support_op/index.html
革新知能統合研究センター,革新知能統合研究センター,理研AIP-NEC連携センター,https://www.riken.jp
革新知能統合研究センター,革新知能統合研究センター,理研AIP-東芝連携センター,https://www.riken.jp
革新知能統合研究センター,革新知能統合研究センター,理研AIP-富士通連携センター,https://www.riken.jp
生命医科学研究センター,生命医科学研究センター,トランスクリプトーム研究チーム,https://www.riken.jp/research/labs/ims/transcript_tech/index.html
生命医科学研究センター,生命医科学研究センター,細胞機能変換技術研究チーム,https://www.riken.jp/research/labs/ims/cell_funct_conv/index.html
