事業成果,年度,分野,url,研究者
研究開発,2018年度,魚粉に変わる養殖用飼料の原料を求めて,https://www.jst.go.jp/seika/bt2018-08.html,"三浦 猛（愛媛大学　教授）"
研究開発,2018年度,タイ発・次世代養殖技術,https://www.jst.go.jp/seika/bt2018-10.html,"岡本 信明（学校法人トキワ松学園 理事長）"
研究開発,2018年度,「未来カルテ」で自治体を診断,https://www.jst.go.jp/seika/bt2018-04.html,"倉阪 秀史（千葉大学 大学院社会科学研究院　教授）"
研究開発,2017年度,最先端育種技術によるベトナムニーズのイネ品種開発,https://www.jst.go.jp/seika/bt109-110.html,"吉村 淳（九州大学 大学院農学研究院 教授）"
研究開発,2017年度,発達障害者の要支援度を評価,https://www.jst.go.jp/seika/bt133-134.html,"船曳 康子（京都大学大学院 人間・環境学研究科 准教授）"
研究開発,2017年度,コンクリートの内部を遠隔で高速検査,https://www.jst.go.jp/seika/bt135-136.html,"緑川 克美（理化学研究所 光量子工学研究センター センター長）"
研究開発,2016年度,画期的な技術力で新型インフルエンザのパンデミックを阻止する！,https://www.jst.go.jp/seika/bt85-86.html,"河岡 義裕（東京大学 医科学研究所 教授）"
研究開発,2016年度,「動くハザードマップ」と防災教育,https://www.jst.go.jp/seika/bt87-88.html,"片田 敏孝（株式会社アイ・ディー・エー社会技術研究所 取締役研究所長／群馬大学 大学院工学研究科 教授）"
研究開発,2016年度,生活再建支援システムの実装,https://www.jst.go.jp/seika/bt89-90.html,"田村 圭子（新潟大学 危機管理本部 危機管理室 教授）"
研究開発,2016年度,東日本大震災からの復興を目指して,https://www.jst.go.jp/seika/bt91-92.html,
研究開発,2016年度,菜の花プロジェクト,https://www.jst.go.jp/seika/bt93.html,"中井 裕（東北大学大学院農学研究科　教授）"
研究開発,2016年度,薄膜太陽電池企業を宮城県へ！,https://www.jst.go.jp/seika/bt94.html,低炭素社会戦略センター（LCS）
基盤事業の成果,"2021年度更新
研究開発戦略センター（CRDS）
アジア・太平洋総合研究センター（APRC）
低炭素社会戦略センター（LCS）
",科学技術イノベーション創出に向けた先導役,https://www.jst.go.jp/seika/bt139-140.html,
